epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,586.12,0.39691,0.35544,0.84138,0.9844,0.94003,0.981,0.95288,0.21534,0.20663,0.77114,0.00332667,0.00332667,0.00332667
2,1100.58,0.48091,0.3829,0.8426,0.9635,0.89628,0.96826,0.9236,0.28943,0.29468,0.78368,0.00652813,0.00652813,0.00652813
3,1912.89,0.50798,0.39748,0.84798,0.97823,0.91573,0.97301,0.90392,0.36778,0.28764,0.79725,0.0095976,0.0095976,0.0095976
4,2591.79,0.47194,0.38383,0.8434,0.97097,0.90379,0.96809,0.90737,0.33082,0.27793,0.78761,0.009406,0.009406,0.009406
5,3092.69,0.42722,0.35702,0.83622,0.97658,0.91793,0.97261,0.93203,0.25447,0.23442,0.7777,0.009208,0.009208,0.009208
6,3605.55,0.39882,0.3373,0.83099,0.9798,0.91974,0.976,0.94375,0.23325,0.2167,0.77516,0.00901,0.00901,0.00901
7,4112.37,0.38025,0.32332,0.82722,0.98238,0.93433,0.98004,0.95292,0.20879,0.19283,0.77317,0.008812,0.008812,0.008812
8,4620.28,0.36646,0.31329,0.82493,0.98639,0.93852,0.98145,0.95723,0.19325,0.18059,0.77144,0.008614,0.008614,0.008614
9,5129.1,0.35483,0.30523,0.82322,0.98029,0.92998,0.97926,0.95296,0.19594,0.18737,0.77122,0.008416,0.008416,0.008416
10,5642.51,0.34621,0.29703,0.82186,0.98601,0.94229,0.98226,0.96,0.18324,0.16991,0.77013,0.008218,0.008218,0.008218
11,6154.08,0.33767,0.29114,0.8207,0.98662,0.94116,0.98275,0.96119,0.18037,0.16823,0.76971,0.00802,0.00802,0.00802
12,6658.29,0.32919,0.28521,0.81883,0.98517,0.94373,0.98271,0.96129,0.16892,0.16142,0.76934,0.007822,0.007822,0.007822
13,7165.1,0.32321,0.28023,0.81817,0.98679,0.9465,0.98339,0.96303,0.16309,0.15515,0.76794,0.007624,0.007624,0.007624
14,7668.64,0.31796,0.2752,0.81743,0.98421,0.94617,0.98346,0.96211,0.16842,0.15492,0.76767,0.007426,0.007426,0.007426
15,8177,0.31302,0.2708,0.81605,0.98639,0.94775,0.98435,0.96513,0.16364,0.14949,0.76721,0.007228,0.007228,0.007228
16,8927.88,0.308,0.26828,0.81556,0.98707,0.94786,0.98462,0.9661,0.15496,0.14604,0.767,0.00703,0.00703,0.00703
17,9456.65,0.30349,0.26385,0.81525,0.9857,0.9524,0.985,0.9665,0.1562,0.1428,0.76634,0.006832,0.006832,0.006832
18,9994.01,0.29932,0.26089,0.81419,0.98899,0.95186,0.98511,0.9669,0.15007,0.13907,0.76617,0.006634,0.006634,0.006634
19,10797.4,0.29606,0.2586,0.81428,0.98908,0.95325,0.98569,0.96751,0.14941,0.1375,0.7658,0.006436,0.006436,0.006436
20,11272.4,0.29053,0.25452,0.81265,0.98894,0.95385,0.98566,0.96785,0.14827,0.13603,0.76542,0.006238,0.006238,0.006238
21,11750.7,0.28817,0.2531,0.81275,0.98901,0.95393,0.98578,0.9683,0.14749,0.13458,0.76534,0.00604,0.00604,0.00604
22,12228.2,0.28523,0.25033,0.8118,0.98985,0.95314,0.98631,0.96901,0.14458,0.13255,0.7647,0.005842,0.005842,0.005842
23,12717.6,0.28196,0.24717,0.81132,0.98862,0.95436,0.98641,0.96963,0.14306,0.1315,0.7649,0.005644,0.005644,0.005644
24,13236.7,0.27822,0.24445,0.81074,0.98875,0.95546,0.98649,0.96959,0.14433,0.13082,0.76532,0.005446,0.005446,0.005446
25,13773,0.27455,0.24161,0.80993,0.99016,0.95463,0.98651,0.96984,0.14309,0.12951,0.76469,0.005248,0.005248,0.005248
26,14436.3,0.27136,0.23997,0.80958,0.98892,0.9558,0.98667,0.9702,0.14168,0.12801,0.76452,0.00505,0.00505,0.00505
27,14958.4,0.26821,0.23654,0.80875,0.98892,0.95624,0.98691,0.9705,0.14128,0.12709,0.76436,0.004852,0.004852,0.004852
28,15615.2,0.26581,0.23543,0.80849,0.98872,0.95686,0.98683,0.97048,0.13978,0.1258,0.76421,0.004654,0.004654,0.004654
29,16099.9,0.26227,0.23291,0.80824,0.98988,0.95658,0.98704,0.97063,0.13905,0.12471,0.76402,0.004456,0.004456,0.004456
30,16595.5,0.25952,0.23053,0.80735,0.99008,0.95673,0.9871,0.97101,0.13754,0.12347,0.76397,0.004258,0.004258,0.004258
31,17108.4,0.25665,0.22883,0.80736,0.9901,0.95679,0.98724,0.97114,0.13705,0.12287,0.76399,0.00406,0.00406,0.00406
32,17962.8,0.25441,0.22671,0.80708,0.99046,0.95675,0.98738,0.97126,0.13717,0.12243,0.76391,0.003862,0.003862,0.003862
33,18458.5,0.25224,0.22521,0.8062,0.99038,0.95652,0.98742,0.97129,0.1369,0.122,0.76377,0.003664,0.003664,0.003664
34,18953.3,0.2487,0.22356,0.80571,0.99072,0.95608,0.98743,0.97138,0.13628,0.12132,0.76366,0.003466,0.003466,0.003466
35,19451.9,0.24489,0.22008,0.80527,0.99014,0.95656,0.98744,0.97157,0.13569,0.12092,0.76353,0.003268,0.003268,0.003268
36,19953.9,0.24364,0.21921,0.805,0.98953,0.95722,0.98744,0.97159,0.13526,0.12045,0.76344,0.00307,0.00307,0.00307
37,21363.5,0.24027,0.21684,0.80532,0.98953,0.95741,0.98743,0.97165,0.13492,0.11993,0.76339,0.002872,0.002872,0.002872
38,21955.8,0.2377,0.21526,0.80451,0.98921,0.95774,0.98743,0.97163,0.1345,0.11949,0.76332,0.002674,0.002674,0.002674
39,22551.1,0.2353,0.21311,0.80444,0.98911,0.95788,0.98743,0.97182,0.13429,0.11912,0.76326,0.002476,0.002476,0.002476
40,23137.2,0.23259,0.21167,0.80388,0.98918,0.95804,0.98745,0.97179,0.13412,0.11891,0.76319,0.002278,0.002278,0.002278
41,23760.9,0.16691,0.14804,0.77206,0.9884,0.9589,0.98748,0.97194,0.13334,0.11832,0.76308,0.00208,0.00208,0.00208
42,24339,0.1616,0.14461,0.77205,0.98872,0.95893,0.98752,0.97222,0.13239,0.11745,0.763,0.001882,0.001882,0.001882
43,26040.5,0.15694,0.14144,0.77113,0.98853,0.94144,0.97373,0.95848,0.13207,0.1169,0.76289,0.001684,0.001684,0.001684
44,26499.6,0.15353,0.13865,0.77108,0.98888,0.95927,0.98768,0.97236,0.13127,0.11635,0.76278,0.001486,0.001486,0.001486
45,27092.3,0.15054,0.13639,0.7706,0.98903,0.95942,0.98774,0.97241,0.1305,0.11569,0.76265,0.001288,0.001288,0.001288
46,27820,0.14717,0.13346,0.76995,0.98912,0.95929,0.98772,0.97245,0.12989,0.11519,0.76256,0.00109,0.00109,0.00109
47,28347.4,0.14438,0.13112,0.76978,0.98987,0.95847,0.98784,0.97263,0.12904,0.11461,0.76244,0.000892,0.000892,0.000892
48,28981.6,0.14186,0.12887,0.76945,0.98993,0.95839,0.9879,0.97274,0.12802,0.11405,0.76234,0.000694,0.000694,0.000694
49,29543.9,0.13931,0.12712,0.76927,0.99005,0.95831,0.98789,0.97289,0.12755,0.11363,0.76222,0.000496,0.000496,0.000496
50,30274,0.13603,0.12406,0.76919,0.9901,0.9582,0.98789,0.97305,0.12711,0.11333,0.76215,0.000298,0.000298,0.000298
